internalCourseId,slug,displayTitle,currentPrice,currency,isFree,isPaid,isPublished,currentlyVisibleOnIOS,currentAccessBehaviorOnIOS,existingAppleProductId,existingIosPurchasable,recommendedAppleProductId,recommendedIapType,recommendedAppleReferenceName,recommendedArabicDisplayName,recommendedEnglishDisplayName,recommendedArabicDescription,recommendedEnglishDescription,priorityForAppleSetup,notes
cmpe5jydm00abqx0ydcd0pggp,mswdh-kwrs-4,دورة - خارطة التفوق الدراسي: أسرار النجاح من الألف إلى الياء,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_4,Non-Consumable,Academic Excellence Roadmap,دورة - خارطة التفوق الدراسي: أسرار النجاح من الأل…,Academic Excellence Roadmap,كيف تصبح ناجح بحياتك,Unlock permanent access to: Academic Excellence Roadmap. Full course content for enrolled students.,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=11; activeEnrollments=0
cmpf9iykj000jmi0yw2u7ses0,mswdh-kwrs-13,دورة SPSS: احتراف التحليل الإحصائي,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_13,Non-Consumable,SPSS Statistical Analysis Mastery,دورة SPSS: احتراف التحليل الإحصائي,SPSS Statistical Analysis Mastery,احتراف التحليل الإحصائي,Unlock permanent access to: SPSS Statistical Analysis Mastery. Full course content for enrolled students.,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=4; activeEnrollments=0
cmpi2bb350021r00y9ep7infm,mswdh-kwrs-17,دورة احتراف كتابة المحتوى بالذكاء الاصطناعي,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_17,Non-Consumable,AI Content Writing Mastery,دورة احتراف كتابة المحتوى بالذكاء الاصطناعي,AI Content Writing Mastery,دورة احتراف كتابة المحتوى بالذكاء الاصطناعي,Unlock permanent access to: AI Content Writing Mastery. Full course content for enrolled students.,P1 — core paid catalog,Near-duplicate titles with mswdh-kwrs-1 and mswdh-kwrs-17 — verify they are distinct products before App Store listing; appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; lessons=55; activeEnrollments=18
cmpe5bg9j001pqx0y20nv2obq,mswdh-kwrs-1,دورة احتراف كتابة المحتوى بالذكاء الاصطناعي,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_1,Non-Consumable,AI Content Writing Mastery,دورة احتراف كتابة المحتوى بالذكاء الاصطناعي,AI Content Writing Mastery,تعلم كتابة المحتوى بأحترافية,Unlock permanent access to: AI Content Writing Mastery. Full course content for enrolled students.,P1 — core paid catalog,Near-duplicate titles with mswdh-kwrs-1 and mswdh-kwrs-17 — verify they are distinct products before App Store listing; appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=55; activeEnrollments=0
cmpe5n8iy00bxqx0y6525r7a5,mswdh-kwrs-5,دورة استقبال وسكرتارية | Receptionist and Secretary,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_5,Non-Consumable,Receptionist and Secretary,دورة استقبال وسكرتارية,Receptionist and Secretary,كيف تصبحي سكرتيرة ذكية وتديري المكتب بشكل مناسب,Unlock permanent access to: Receptionist and Secretary. Full course content for enrolled students.,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=72; activeEnrollments=0
cmpe618na00khqx0yx5ipcdd4,mswdh-kwrs-6,دورة تعلم أساسيات برمجة مواقع الويب - FULL-STACK DEVELOPMENT COURSE,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_6,Non-Consumable,Full-Stack Web Development Basics,دورة تعلم أساسيات برمجة مواقع الويب - FULL-STACK…,Full-Stack Web Development Basics,تعلم اساسيات برمجة الويب بسهولة,Unlock permanent access to: Full-Stack Web Development Basics. Full course content for enrolled students.,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=26; activeEnrollments=0
cmpe66c7f00ohqx0yn5d9eitr,mswdh-kwrs-8,ساعة احتراف في كتابة المحتوى!,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_8,Non-Consumable,One-Hour Content Writing Mastery,ساعة احتراف في كتابة المحتوى!,One-Hour Content Writing Mastery,تعلم كتابة المحتوى,Unlock permanent access to: One-Hour Content Writing Mastery. Full course content for enrolled students.,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=19; activeEnrollments=0
cmpf9uu3y002bmi0yol17b94f,mswdh-kwrs-15,كتابة المحتوى الذكية – 90 دقيقة,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_15,Non-Consumable,Smart Content Writing 90 Minutes,كتابة المحتوى الذكية – 90 دقيقة,Smart Content Writing – 90 Minutes,تعلم كتابة المحتوى الذكية,Unlock permanent access to: Smart Content Writing – 90 Minutes. Full course content for enrolled students.,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=2; activeEnrollments=0
cmpf9zjbv002xmi0yvn0wogpu,mswdh-kwrs-16,معسكر تدريب BatTechno - Full Stack,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_16,Non-Consumable,BatTechno Full Stack Bootcamp,معسكر تدريب BatTechno - Full Stack,BatTechno Full Stack Bootcamp,ابني موقعك من الصفر,Unlock permanent access to: BatTechno Full Stack Bootcamp. Full course content for enrolled students.,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; lessons=30; activeEnrollments=4
cmptnzw1x0122s30yl43vbb9t,mharh-altqryr,مهارة التقرير,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mharh_altqryr,Non-Consumable,Report Writing Skill,مهارة التقرير,Report Writing Skill,هذه الفيديوهات مدموجة يعني تقرير ومقال من اجل تغطية الدقائق,Unlock permanent access to: Report Writing Skill. Full course content for enrolled students.,P2 — report-skill series,Part of مهارة التقرير series; consider bundle later (not in this audit); appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=15; activeEnrollments=0
cmptovnbg015ys30ylojbe1km,mharh-altqryr-albhth-alaam,مهارة التقرير البحث العام,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mharh_altqryr_albhth_alaam,Non-Consumable,General Research Report Skill,مهارة التقرير البحث العام,General Research Report Skill,هذه الفيديوهات مدموجة يعني بحث بسيط والواجب من اجل تغطية الدقائق,Unlock permanent access to: General Research Report Skill. Full course content for enrolled students.,P2 — report-skill series,Part of مهارة التقرير series; consider bundle later (not in this audit); appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=16; activeEnrollments=0
cmptogpkq0140s30yh8e0w758,mharh-altqryr-albhth-alamyq,مهارة التقرير البحث العميق,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mharh_altqryr_albhth_alamyq,Non-Consumable,Deep Research Report Skill,مهارة التقرير البحث العميق,Deep Research Report Skill,مهارة البحث العميق,Unlock permanent access to: Deep Research Report Skill. Full course content for enrolled students.,P2 — report-skill series,Part of مهارة التقرير series; consider bundle later (not in this audit); appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; lessons=15; activeEnrollments=2
cmptpmai301acs30y6ln6qjmm,mharh-altqryr-drash-aljdwa,مهارة التقرير دراسة الجدوى,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mharh_altqryr_drash_aljdwa,Non-Consumable,Feasibility Study Report Skill,مهارة التقرير دراسة الجدوى,Feasibility Study Report Skill,دراسة الجدوى,Unlock permanent access to: Feasibility Study Report Skill. Full course content for enrolled students.,P2 — report-skill series,Part of مهارة التقرير series; consider bundle later (not in this audit); appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=24; activeEnrollments=0
cmptp5jfw0180s30yarlcnt7b,mharh-altqryr-drash-alhalh,مهارة التقرير دراسة الحالة,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mharh_altqryr_drash_alhalh,Non-Consumable,Case Study Report Skill,مهارة التقرير دراسة الحالة,Case Study Report Skill,مهارة دراسة الحالة,Unlock permanent access to: Case Study Report Skill. Full course content for enrolled students.,P2 — report-skill series,Part of مهارة التقرير series; consider bundle later (not in this audit); appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=17; activeEnrollments=0
cmpe4yx9l0005qx0yqbgn2ydj,mswdh-kwrs,يلا • AI,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs,Non-Consumable,Yalla AI Course,يلا • AI,Yalla AI Course,تعلم الذكاء الاصطناعي,Unlock permanent access to: Yalla AI Course. Full course content for enrolled students.,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=10; activeEnrollments=0
cmqcgu4oa000buvwgbr1agprz,shared-workspace-course-sharedmqcgtz1k3a6f,Shared workspace course sharedmqcgtz1k3a6f,,JOD,true,false,false,No (catalog hidden; enrolled-only in My Courses),Not visible (not published),,false,,No IAP needed,,,,,,Skip (free),Free course — no Apple IAP product needed; appleProductId currently null; iosPurchasable=false; lessons=1; activeEnrollments=0
